SubjID,part1code,part2code,part2comment
1,053e35yzfpv,qeis35yzzb7,na
2,05gf35yzzzk,v4c235yzh7d,na
3,05vg35yzrtl,uh5135yz4zr,na
4,06gq35yzcd4,kt3u35yzf8n,na
5,0bu935yzuut,na,na
6,0e3d35yzba6,5afb35yz3i3,50 50 is a pretty good shot.
7,0f6c35yzrt1,tmzh35yzr2e,na
8,0s7d35yzgeh,g1bm35yzljv,na
9,18r635yzjwu,ol2m35yz5tz,na
10,1bgs35yz1fw,dl2o35yztro,i thought you guys would troll me by releasing part 2 of this study late on christmas eve. thanks for not doing that. it would have been a little bit funny though.
11,1ewa35yzmvv,uw5r35yzxlr,na
12,1f2v35yz98m,bjfu35yzlxx,na
13,1ffu35yz5ks,ho3i35yzgjo,na
14,1vtp35yzab7,4e2c35yzzky,na
15,1wwz35yzpea,v9zm35yzcu9,na
16,26uf35yzmrb,na,na
17,29zz35yza0u,l81l35yz5h4,na
18,2e0m35yzw0v,fuo035yzq2m,na
19,2go535yz058,doa635yzv22,na
20,2kzc35yzalg,z8zs35yznpa,na
21,2qil35yzuvu,vo8o35yzx10,na
22,2w3p35yzt0q,pagu35yzvag,"So here's what I took from this. I want certain odds unless it REALLY MATTERS, especially life and death. Then I will go with ambiguity. Thanks for the study."
23,33ip35yzrhv,uut435yz6qd,na
24,3as735yzotf,na,na
25,3emq35yzdng,70xw35yzujy,The instructions and questions were clear.  I experienced no problems with the study.
26,3eok35yzp40,zwzj35yzgx5,na
27,3iou35yzxhf,lqcy35yz89a,Everything was fine
28,3kv035yzurp,tc3i35yzgs1,Interesting; makes you think.
29,3vll35yztus,4f7f35yzysd,na
30,3xm135yzzea,8f9f35yzcix,na
31,47ks35yzy98,xhcn35yzboh,na
32,4eqr35yzybm,rf6s35yz2lr,na
33,4fvc35yz8j1,s3wn35yzlqx,na
34,4j0835yz8d5,1r3q35yzn6t,na
35,4uxh35yzb1g,koha35yzqrx,na
36,4zum35yz299,10y235yznax,na
37,52oe35yzuhi,cxg935yz7jy,na
38,56l635yzzrm,qshn35yzcua,none
39,59xp35yzczy,cnc835yz2m4,na
40,5b4d35yzf3u,h98t35yzcm3,none  ty
41,5e6735yzivn,luel35yzzi9,na
42,5j1b35yzcf4,jue935yzqgq,na
43,5jpn35yzr88,4e7i35yz8tz,na
44,5l7835yzf63,rmuc35yzod8,N/A
45,5lig35yzazu,n81s35yz183,na
46,5lox35yzbqd,x3ar35yzrb7,na
47,5q6q35yzb0h,ftwg35yzp52,na
48,5sue35yzsmh,32ro35yzq2m,na
49,5zza35yz9pc,avjg35yzuvp,na
50,61y535yz5ox,6zlo35yzw67,na
51,638t35yzjx3,na,na
52,65vk35yzv46,na,na
53,6f1w35yzemv,uf6535yzfp3,na
54,6njx35yzr9c,9ujy35yzk2d,na
55,71x335yztcm,2l2j35yzshx,na
56,7e0i35yzcdt,m6s335yz2pm,na
57,7f0v35yzqyk,na,na
58,7ff035yzptp,p7qs35yzwf9,na
59,7jwf35yz86s,1xzr35yznyw,This was really interesting!
60,7m6n35yz2du,w0la35yzarn,na
61,7mrb35yzlkp,cegg35yzss3,na
62,7xr035yz8ct,na,na
63,8sle35yzcxf,73a835yz2o9,na
64,8tmf35yznt3,5uw735yzbib,na
65,90gg35yzmd5,3auw35yzdmu,na
66,92fe35yzh2u,uf5r35yz3hm,na
67,93k135yzlaf,jv1935yzkan,na
68,99l135yz6vd,mi8o35yz28j,na
69,9aam35yzcjl,d2jv35yzgm3,na
70,9aju35yzj50,wu4m35yzeso,I'm guessing that even odds are better than unknown variables. Thank you for the survey and stay safe.
71,9j2135yzy9s,t57a35yzp5k,na
72,9mqd35yzoz4,y78y35yz8bg,na
73,9twb35yzeie,0gru35yz9gb,Thank you for emailing me and letting me know about the follow up.  Good luck with your study.  Happy Holidays.
74,9uk135yze95,eqlh35yzrq5,na
75,9vtx35yza8u,gg4535yz0hm,na
76,9ws335yzfeo,upch35yztm2,na
77,a7tj35yzhi0,na,na
78,aa5s35yz91l,jk1i35yzdmo,everything went fine with no issues.
79,afc335yzxg3,9d9e35yz94v,na
80,ai5k35yzyn7,yi1j35yzxk4,na
81,aj9j35yzy9r,na,na
82,am8835yz8wt,jgbu35yz7v8,na
83,apgl35yz0nw,ujsj35yz2jv,na
84,audg35yz0ap,cb7i35yzrkn,na
85,aw0s35yzour,na,na
86,b2vn35yz5dw,ti0h35yz4cw,na
87,bfi035yzo3z,37ux35yz4a4,na
88,bqku35yzo1g,na,na
89,bsh235yzruw,jglg35yzvub,na
90,c04m35yzieu,264r35yzxqa,na
91,cafo35yz3eq,vz1e35yzw0e,na
92,cect35yzrk3,jdmg35yzojb,na
93,chsu35yzfes,j4gb35yzp4n,na
94,cmw735yz7nv,jzrd35yzcxd,na
95,ctkg35yzu4c,ujnn35yzz55,na
96,cwe535yzgqj,hpbh35yz8ei,na
97,dbwk35yz24h,lzv435yzzas,"Everything was clear and understood, thank you."
98,dd2e35yzhpg,ykma35yzkn4,na
99,ddvn35yzlbl,434a35yz0b7,na
100,dirh35yzng6,hdlx35yzps7,na
101,djt035yz5ni,t2kk35yzppt,na
102,dtol35yz7vq,yv2r35yzdzn,na
103,dzv435yzh6n,ykcx35yzbfo,"None, thanks!"
104,e7tx35yzk6d,kf8i35yztzx,Thank you.
105,ecrb35yzo06,na,na
106,ehen35yzcau,aefo35yzca0,na
107,exiu35yzuqh,1fne35yzb9m,na
108,f1y235yzt8k,xc0e35yzmwc,na
109,f8ks35yzu2b,omui35yzceg,na
110,fasb35yz3hg,1x1t35yzyl7,na
111,fczj35yz1ju,na,na
112,fj3235yzqgp,w66j35yzza3,na
113,fj7935yzfre,ici635yzgna,"If I'm not going to find out almost immediately, I might prefer to know it's a 50/50 chance so I can tell myself ""It's only 50/50 that the bad thing happened."" Realistically of course me knowing the odds doesn't affect the outcome at all in any of these scenarios."
114,fpji35yzo6i,73qp35yzubu,na
115,fz4j35yzj6d,czhz35yz085,Thanks for giving me an alert in mail to continue my job with you. Highly appreciated and waiting to work with you in near future. Thanks again!
116,fzxy35yzmf1,uoot35yzj3t,na
117,gkya35yzr36,6ihk35yz7vh,na
118,gnej35yzg2h,z9gg35yzoh8,na
119,grcg35yzxii,51gx35yzccu,na
120,gxos35yz1l5,na,na
121,h15q35yzx2d,kh8z35yzqix,na
122,h42h35yzdvl,4kb835yzd8p,na
123,h7jp35yz2h7,jvkk35yz1mp,na
124,h8c735yzfwi,42xc35yzwpn,na
125,h8ci35yz02h,na,na
126,h8di35yzqr5,na,na
127,hdzw35yzs7s,ti4c35yz4zv,na
128,hmya35yz0hm,gt8l35yz92p,na
129,hsaf35yza3e,s78835yz2fv,"I am just glad that I don't have to face any of those scenarios. Winning the $1,000 without the chance of losing anything would be the best, as long as I don't have to lose any money! 50% makes it 500 yellow and 500 red, with the other option it could have been 1 yellow and 999 red or reversed. I don't gamble and with good cause, too many have lost too much with those issues."
130,hwdg35yz9tk,fjg835yzugm,It's a great task.
131,hxke35yz1k7,v7wf35yzuer,na
132,i1aw35yzuuy,gasv35yz1jj,na
133,i4h135yzm3w,khmy35yz2gt,na
134,i6h335yznhu,jnpl35yz3oq,na
135,igaf35yzhuy,30sl35yz0mj,na
136,ik5535yz79c,na,na
137,ik6d35yzclp,m18e35yz9pc,na
138,il0r35yz9ga,3aab35yzuae,na
139,ilj535yzc7b,jubk35yzos1,na
140,irh135yzky2,na,na
141,irx435yzqj9,wpsr35yz8aq,na
142,je0g35yz5uu,kfu135yzkhn,na
143,jev335yzxis,ngt135yz6y7,na
144,jf7035yzo2p,17w235yzsgh,na
145,jskn35yzih9,na,na
146,juzv35yzntd,na,na
147,jz7335yzue8,3u3h35yzjob,na
148,k19e35yz8pm,kifk35yzh8h,na
149,k3y335yzhg1,it8135yzjty,na
150,k5jk35yz647,a0s235yzcps,na
151,k9d635yz0rj,evsc35yz3tr,na
152,kh3x35yz7am,fgpt35yz99g,na
153,kkyd35yzw1o,9gj835yz55x,Thanks!
154,kn5235yzevh.,zbzo35yzfcq,na
155,kpbg35yzngr,na,na
156,kr0h35yzwlg,x27i35yz0ia,"Thanks for the opportunity to participate, good luck with your research and stay safe!"
157,kujw35yzgxj.,guix35yzr3o,na
158,ky4e35yzmvo,4ljt35yzqdh,na
159,l1am35yzw2f,27cj35yzm77,na
160,l79v35yzkr2,jmb235yz0y7,na
161,lbnp35yzh87,na,na
162,lfvl35yzaf7,fadt35yzkb4,na
163,livs35yzn9w,3oqo35yz1e5,na
164,lorz35yzx4l,o4h635yz384,na
165,lqhw35yzxuv,na,na
166,lqxn35yz0k0,4hi735yz8s6,na
167,m27n35yzw3y,na,na
168,m6jh35yzap0,cc8s35yzrlz,na
169,m74135yzeh7,na,na
170,mb4235yz35w,si2v35yzw0f,na
171,mc9s35yzyff,hv0m35yz72n,na
172,ml7a35yzymu,cidn35yzndn,na
173,mqqq35yziuz,ol3m35yz1ef,na
174,n0xj35yzvca,47le35yzg3c,na
175,n47835yzbyy,tw4z35yzk6t,na
176,n6om35yz0ww,xzel35yzoeq,na
177,n7cw35yzks7,3txr35yz96y,na
178,n9j035yzk4u,j1l835yznyr,na
179,na5n35yzhg4,na,na
180,nacz35yz1dt,3opi35yzmji,na
181,ngm035yz50l,1q5u35yz1go,na
182,ngxs35yz0bx,85as35yzmnw,na
183,nitt35yz1h4,t6za35yzh7g,na
184,o1ca35yzypl.,na,na
185,o3tp35yzwkb,jv9235yznrg,na
186,oc4r35yzde6,t6gb35yzuem,na
187,p1sk35yzvfl,na,na
188,p5j635yzq21,m8cp35yz315,na
189,p7q835yz9ru,na,na
190,pas135yzyi3,z0ng35yz26t,na
191,pcxh35yzq6x,x3qk35yzsog,"For me, and speaking generally, a 50/50% chance is functionally the same as a chance of unknown probability. Even a tiny shift (49/51%) would have led to different responses."
192,pet435yztqs,9imj35yzpvz,na
193,pgzy35yzaxu,qot135yz66m,na
194,piv335yz6mz,me3235yzyb2,na
195,pkrg35yzotm,gwvk35yzxhc,na
196,ppdk35yzhmk,283h35yz8v3,na
197,pt5l35yzem1,xul735yzk5v,na
198,pvee35yzocn,cxb435yzgu9,na
199,pvxs35yzu0c,ymqr35yze5o,na
200,q3fw35yz807,dzrp35yzur4,Thanks for the follow up survey!
201,q76535yzwtf,7xnx35yzlf5,na
202,qeo335yzfnm,jhub35yz2wc,na
203,qk5n35yz4oo,a5ez35yzecj,na
204,qm0535yzg9s,q5bk35yzwh3,na
205,qotd35yz8eq,na,na
206,qpve35yz42n,r4qw35yzk2v,na
207,qqw735yzrzu,0fgs35yzshy,na
208,qx3j35yz6uy,na,na
209,qy4635yzrvs,6ni935yz5r1,na
210,r3qk35yzypw,ca7135yz82z,na
211,r64z35yzpox,ytln35yzba1,na
212,r8gu35yzuu2,179235yzshj,na
213,rac235yzkyo,na,na
214,rtaj35yza7o,0uq335yzeee,na
215,rzyz35yzwq9,lcqt35yzrsb,na
216,s0sz35yz4up,a88o35yzixz,na
217,s3e035yz7v3,fqyi35yz4f7,na
218,s4wb35yzsvr,k4qk35yzteb,na
219,s5wg35yzdfv,srsm35yzor2,na
220,s70t35yzp73,qzzs35yzjn9,na
221,sbqv35yzls6,tohz35yzuwd,na
222,sn0f35yzu6g,4zdj35yzftq,na
223,sngj35yzm2f,7r7i35yzyrn,na
224,t5py35yze77,jc2m35yztut,na
225,t6no35yzo62,xtgu35yzm3x,na
226,tik035yzvee,imwl35yz19c,na
227,tj8f35yzboj,1huh35yz67u,na
228,tjjc35yzom7,le0135yzvan,na
229,tm2s35yzmpw,b04y35yzr7c,na
230,tns035yzf7g,xqqn35yz9bf,na
231,twee35yzgqv,svbg35yz11f,na
232,tywo35yz7o5,jnnm35yz8vm,na
233,tyz735yzbzo,xowr35yzm7y,na
234,u0gr35yzvwd,6s0535yz9ve,na
235,u3kl35yzvv2,ec9g35yz5fx,na
236,u6l035yzk2k,5l7p35yz6i7,na
237,udyn35yz8ir,dno135yzsvc,na
238,uecp35yz5fb,3mmv35yz625,na
239,uj8z35yzxs3,pjff35yz4lq,na
240,upmd35yzwph,n3wc35yztzq,na
241,uqp635yzcrk,xsgb35yz9mk,na
242,utad35yztao,192535yzc2y,na
243,utex35yzu28,8uji35yzllw,na
244,uuc635yzmzr,0a4y35yzvd4,na
245,v26g35yzmi8,dwpn35yzlo3,na
246,v9rv35yz4dc,uig135yz8ln,na
247,vdpd35yzyy1,lu2j35yzwjm,na
248,vfu235yzy48,na,na
249,vloo35yzawg,7fmf35yzb42,na
250,vm5g35yz7v8,1qwh35yzozu,na
251,vxr035yz65t,v1ng35yzdkh,"Thank you for the opportunity to work on this survey, it was simple and interesting."
252,vy5n35yzd21,mfkw35yzhlc,na
253,w2fr35yzivo,ym7v35yzc0m,na
254,w3uu35yzser,tpwa35yzze5,na
255,w5mj35yzr60,igif35yzdqg,na
256,w6jm35yzx6f,phuv35yz6z9,na
257,w8pl35yzq8t,fbt035yz54p,na
258,whng35yzdzl,zae135yz1mz,thanks
259,wjg435yzwe4,sdm135yzj59,"Thank you for the study. It was interesting to consider my preferences - this reflection helped me see that I would rather have ""coin flip"" scenarios than find myself in situations where the percentages are more unknown. It's not as though having 50/50 outcomes makes them unambiguous, but I'd generally prefer knowing the odds going into something than to have even less clarity as to what the odds are like for certain outcomes."
260,wkxd35yz0ya,3ttm35yz03c,na
261,wsbp35yzs5o,na,na
262,xb1m35yz0qs,8mfu35yz97r,na
263,xiwd35yz9jl,nfk935yz8ib,na
264,xjoy35yzz4l,nc6n35yztxp,na
265,xrp335yzgp1,na,na
266,y02z35yzwas,ahku35yzinh,na
267,y5uv35yzw6e.,x9y935yz4lw,na
268,ycnb35yzw0y,na,na
269,ygos35yzob6,e4dw35yzzt5,na
270,yjir35yz9g0,na,na
271,yokh35yzm7s,na,na
272,z6i635yzsx0,o27j35yzvge,na
273,zabd35yzeb4.,yc4m35yzoxg,na
274,zayf35yz7or,4cvo35yzq1m,na
275,zb8735yzzcx,dc5k35yzgy2,na
276,zjim35yz62d,rchh35yz58y,na
277,zkxu35yzvm8,na,na
278,zkyh35yzt8b,jhqo35yz0sq,na
279,zp6t35yzw9g,rp3p35yziiu,na
280,zq3n35yz6ev,hutu35yz0bd,na
281,zti435yzhrk,75ue35yzilg,na
282,zykq35yze99,bffb35yz9zi,na
283,zzj735yzh0c,hy3e35yz8uq,na
